vdrain,idrain,idrain-fit,errors,vbulk,vgate,vsource
-1.06,1.841e-05,1.7717199e-05,0.037631776208582324,0.0,-1.48,0.0
-1.07,1.848e-05,1.7789972e-05,0.0373391774891774,0.0,-1.48,0.0
-1.08,1.853e-05,1.786275e-05,0.03600917431192657,0.0,-1.48,0.0
-1.09,1.862e-05,1.7935534e-05,0.03675972073039743,0.0,-1.48,0.0
-1.1,1.866e-05,1.8008322e-05,0.03492379421221878,0.0,-1.48,0.0
-1.11,1.869e-05,1.8081116e-05,0.03257806313536649,0.0,-1.48,0.0
-1.12,1.87e-05,1.8153916e-05,0.029202352941176523,0.0,-1.48,0.0
-1.13,1.866e-05,1.8226722e-05,0.023219614147910034,0.0,-1.48,0.0
-1.14,1.881e-05,1.8299533e-05,0.027138064859117544,0.0,-1.48,0.0
-1.15,1.886e-05,1.8372351e-05,0.025856256627783628,0.0,-1.48,0.0
-1.16,1.89e-05,1.8445175e-05,0.02406481481481479,0.0,-1.48,0.0
-1.17,1.892e-05,1.8518005e-05,0.02124709302325565,0.0,-1.48,0.0
-1.18,1.897e-05,1.8590842e-05,0.019987243015287287,0.0,-1.48,0.0
-1.19,1.907e-05,1.8663685e-05,0.02130650235972719,0.0,-1.48,0.0
-1.2,1.909e-05,1.8736535e-05,0.01851571503404925,0.0,-1.48,0.0
-1.21,1.908e-05,1.8809391e-05,0.014182861635220216,0.0,-1.48,0.0
-1.22,1.911e-05,1.8882254e-05,0.011917634746206194,0.0,-1.48,0.0
-1.23,1.927e-05,1.8955123e-05,0.01634026984950699,0.0,-1.48,0.0
-1.24,1.922e-05,1.9027998e-05,0.009989698231009349,0.0,-1.48,0.0
-1.25,1.925e-05,1.9100881e-05,0.007746441558441573,0.0,-1.48,0.0
-1.26,1.925e-05,1.9173769e-05,0.003960051948051905,0.0,-1.48,0.0
-1.27,1.925e-05,1.9246664e-05,0.0001732987012986448,0.0,-1.48,0.0
-1.28,1.927e-05,1.9319565e-05,0.0025721328489881306,0.0,-1.48,0.0
-1.29,1.947e-05,1.9392473e-05,0.003981869542886546,0.0,-1.48,0.0
-1.3,1.942e-05,1.9465387e-05,0.0023371266735323906,0.0,-1.48,0.0
-1.31,1.946e-05,1.9538307e-05,0.004023997944501615,0.0,-1.48,0.0
-1.32,1.949e-05,1.9611234e-05,0.006220318111852117,0.0,-1.48,0.0
-1.33,1.949e-05,1.9684167e-05,0.009962390969727996,0.0,-1.48,0.0
-1.34,1.955e-05,1.9757105e-05,0.010593606138107439,0.0,-1.48,0.0
