vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource
-1.47,1.58e-05,1.473485e-05,0.06741455696202539,0.0,-0.74,0.0
-1.48,1.633e-05,1.5383651e-05,0.0579515615431722,0.0,-0.74,0.0
-1.49,1.692e-05,1.6037519e-05,0.05215608747044928,0.0,-0.74,0.0
-1.5,1.754e-05,1.6695337e-05,0.04815638540478911,0.0,-0.74,0.0
-1.51,1.814e-05,1.7356022e-05,0.04321819184123472,0.0,-0.74,0.0
-1.52,1.864e-05,1.8018531e-05,0.033340611587982974,0.0,-0.74,0.0
-1.53,1.949e-05,1.8681865e-05,0.04146408414571587,0.0,-0.74,0.0
-1.54,1.986e-05,1.9345073e-05,0.025927844914400703,0.0,-0.74,0.0
-1.55,2.045e-05,2.0007258e-05,0.021649975550122245,0.0,-0.74,0.0
-1.56,2.107e-05,2.0667573e-05,0.0190995253915519,0.0,-0.74,0.0
-1.57,2.168e-05,2.1325229e-05,0.01636397601476012,0.0,-0.74,0.0
-1.58,2.226e-05,2.197949e-05,0.012601527403414156,0.0,-0.74,0.0
-1.59,2.289e-05,2.2629672e-05,0.011373001310615907,0.0,-0.74,0.0
-1.6,2.347e-05,2.3275147e-05,0.00830221559437588,0.0,-0.74,0.0
-1.61,2.408e-05,2.3915339e-05,0.006838081395348779,0.0,-0.74,0.0
-1.62,2.465e-05,2.454972e-05,0.004068154158214941,0.0,-0.74,0.0
-1.63,2.527e-05,2.5177811e-05,0.0036481598733675816,0.0,-0.74,0.0
-1.64,2.59e-05,2.5799178e-05,0.0038927413127413505,0.0,-0.74,0.0
-1.65,2.647e-05,2.6413432e-05,0.0021370608235737765,0.0,-0.74,0.0
-1.66,2.71e-05,2.7020221e-05,0.002943874538745439,0.0,-0.74,0.0
-1.67,2.767e-05,2.7619235e-05,0.001834658474882563,0.0,-0.74,0.0
-1.68,2.827e-05,2.8210198e-05,0.0021153873363989307,0.0,-0.74,0.0
-1.69,2.887e-05,2.8792869e-05,0.0026716660893661634,0.0,-0.74,0.0
-1.7,2.947e-05,2.9367036e-05,0.003493858160841547,0.0,-0.74,0.0
-1.71,3.005e-05,2.9932518e-05,0.003909550748751998,0.0,-0.74,0.0
-1.72,3.061e-05,3.048916e-05,0.003947729500163346,0.0,-0.74,0.0
-1.73,3.15e-05,3.1036833e-05,0.01470371428571436,0.0,-0.74,0.0
-1.74,3.176e-05,3.1575431e-05,0.005811366498740557,0.0,-0.74,0.0
-1.75,3.237e-05,3.210487e-05,0.00819060858819876,0.0,-0.74,0.0
-1.76,3.292e-05,3.2625086e-05,0.008958505467800764,0.0,-0.74,0.0
-1.77,3.345e-05,3.3136032e-05,0.009386188340807271,0.0,-0.74,0.0
-1.78,3.398e-05,3.3637681e-05,0.010074131842260263,0.0,-0.74,0.0
-1.79,3.46e-05,3.413002e-05,0.013583236994219629,0.0,-0.74,0.0
-1.8,3.512e-05,3.461305e-05,0.014434794988610581,0.0,-0.74,0.0
-1.81,3.556e-05,3.5086786e-05,0.013307480314960604,0.0,-0.74,0.0
-1.82,3.615e-05,3.5551256e-05,0.016562766251728867,0.0,-0.74,0.0
-1.83,3.673e-05,3.6006499e-05,0.01969782194391515,0.0,-0.74,0.0
-1.84,3.719e-05,3.6452562e-05,0.019828932508738944,0.0,-0.74,0.0
-1.85,3.768e-05,3.6889504e-05,0.020979193205944827,0.0,-0.74,0.0
