run_id,vg,vd,id,v_vth0
4,1.32,1.85,-0.000677614376,0.3124117712333046
4,1.33,1.85,-0.000688936469,0.3124117712333046
4,1.34,1.85,-0.000700255133,0.3124117712333046
4,1.35,1.85,-0.000711570092,0.3124117712333046
4,1.36,1.85,-0.000722881086,0.3124117712333046
4,1.37,1.85,-0.000734187872,0.3124117712333046
4,1.38,1.85,-0.00074549022,0.3124117712333046
4,1.39,1.85,-0.000756787916,0.3124117712333046
4,1.4,1.85,-0.000768080759,0.3124117712333046
4,1.41,1.85,-0.000779368557,0.3124117712333046
4,1.42,1.85,-0.000790651135,0.3124117712333046
4,1.43,1.85,-0.000801928325,0.3124117712333046
4,1.44,1.85,-0.000813199971,0.3124117712333046
4,1.45,1.85,-0.000824465925,0.3124117712333046
4,1.46,1.85,-0.000835726052,0.3124117712333046
4,1.47,1.85,-0.000846980221,0.3124117712333046
4,1.48,1.85,-0.000858228313,0.3124117712333046
4,1.49,1.85,-0.000869470215,0.3124117712333046
4,1.5,1.85,-0.00088070582,0.3124117712333046
4,1.51,1.85,-0.000891935032,0.3124117712333046
4,1.52,1.85,-0.000903157757,0.3124117712333046
4,1.53,1.85,-0.000914373909,0.3124117712333046
4,1.54,1.85,-0.000925583409,0.3124117712333046
4,1.55,1.85,-0.000936786182,0.3124117712333046
4,1.56,1.85,-0.000947982157,0.3124117712333046
4,1.57,1.85,-0.000959171271,0.3124117712333046
4,1.58,1.85,-0.000970353463,0.3124117712333046
4,1.59,1.85,-0.000981528677,0.3124117712333046
4,1.6,1.85,-0.000992696861,0.3124117712333046
4,1.61,1.85,-0.00100385797,0.3124117712333046
4,1.62,1.85,-0.00101501195,0.3124117712333046
4,1.63,1.85,-0.00102615877,0.3124117712333046
4,1.64,1.85,-0.00103729839,0.3124117712333046
4,1.65,1.85,-0.00104843077,0.3124117712333046
4,1.66,1.85,-0.00105955589,0.3124117712333046
4,1.67,1.85,-0.00107067371,0.3124117712333046
4,1.68,1.85,-0.0010817842,0.3124117712333046
4,1.69,1.85,-0.00109288734,0.3124117712333046
4,1.7,1.85,-0.00110398311,0.3124117712333046
4,1.71,1.85,-0.00111507149,0.3124117712333046
4,1.72,1.85,-0.00112615245,0.3124117712333046
4,1.73,1.85,-0.00113722599,0.3124117712333046
4,1.74,1.85,-0.00114829208,0.3124117712333046
4,1.75,1.85,-0.00115935072,0.3124117712333046
4,1.76,1.85,-0.00117040189,0.3124117712333046
4,1.77,1.85,-0.00118144557,0.3124117712333046
4,1.78,1.85,-0.00119248176,0.3124117712333046
4,1.79,1.85,-0.00120351045,0.3124117712333046
4,1.8,1.85,-0.00121453164,0.3124117712333046
4,1.81,1.85,-0.00122554531,0.3124117712333046
4,1.82,1.85,-0.00123655146,0.3124117712333046
4,1.83,1.85,-0.00124755008,0.3124117712333046
4,1.84,1.85,-0.00125854117,0.3124117712333046
4,1.85,1.85,-0.00126952473,0.3124117712333046
