run_id,vg,vd,id,v_vth0,v_u0,v_rdsw,v_nfactor,v_vsat,v_eta0,v_delta
0,1.14,1.85,1.14,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.15,1.85,1.15,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.16,1.85,1.16,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.17,1.85,1.17,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.18,1.85,1.18,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.19,1.85,1.19,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.2,1.85,1.2,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.21,1.85,1.21,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.22,1.85,1.22,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.23,1.85,1.23,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.24,1.85,1.24,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.25,1.85,1.25,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.26,1.85,1.26,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.27,1.85,1.27,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.28,1.85,1.28,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.29,1.85,1.29,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.3,1.85,1.3,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.31,1.85,1.31,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.32,1.85,1.32,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.33,1.85,1.33,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.34,1.85,1.34,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.35,1.85,1.35,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.36,1.85,1.36,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.37,1.85,1.37,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.38,1.85,1.38,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.39,1.85,1.39,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.4,1.85,1.4,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.41,1.85,1.41,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.42,1.85,1.42,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.43,1.85,1.43,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.44,1.85,1.44,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.45,1.85,1.45,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.46,1.85,1.46,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.47,1.85,1.47,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.48,1.85,1.48,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.49,1.85,1.49,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.5,1.85,1.5,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.51,1.85,1.51,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.52,1.85,1.52,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.53,1.85,1.53,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.54,1.85,1.54,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.55,1.85,1.55,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.56,1.85,1.56,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.57,1.85,1.57,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.58,1.85,1.58,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.59,1.85,1.59,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.6,1.85,1.6,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.61,1.85,1.61,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.62,1.85,1.62,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.63,1.85,1.63,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.64,1.85,1.64,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.65,1.85,1.65,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.66,1.85,1.66,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.67,1.85,1.67,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
0,1.68,1.85,1.68,0.3590336799475945,0.0430804,103.65,0.0351348,78424.2,-0.136226,0.01
