 v-sweep         vdd             gate            ax_id0          out_vth0        out_u0          out_rdsw        out_nfactor     out_vsat        out_eta0       
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.43246635e-42  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.40000000e-01  4.40000000e-01  0.00000000e+00  4.42756942e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.50000000e-01  4.50000000e-01  0.00000000e+00  4.52526905e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.60000000e-01  4.60000000e-01  0.00000000e+00  4.62740957e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.70000000e-01  4.70000000e-01  0.00000000e+00  4.72510919e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.80000000e-01  4.80000000e-01  0.00000000e+00  4.82724971e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 4.90000000e-01  4.90000000e-01  0.00000000e+00  4.92494934e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.00000000e-01  5.00000000e-01  0.00000000e+00  5.02708986e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.10000000e-01  5.10000000e-01  0.00000000e+00  5.12923037e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.20000000e-01  5.20000000e-01  0.00000000e+00  5.22693000e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.30000000e-01  5.30000000e-01  0.00000000e+00  5.32907052e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.40000000e-01  5.40000000e-01  0.00000000e+00  5.42677014e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.50000000e-01  5.50000000e-01  0.00000000e+00  5.52446977e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.60000000e-01  5.60000000e-01  0.00000000e+00  5.63105118e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.70000000e-01  5.70000000e-01  0.00000000e+00  5.72875081e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.80000000e-01  5.80000000e-01  0.00000000e+00  5.82645043e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 5.90000000e-01  5.90000000e-01  0.00000000e+00  5.92415006e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.00000000e-01  6.00000000e-01  0.00000000e+00  6.02629058e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.10000000e-01  6.10000000e-01  0.00000000e+00  6.12843110e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.20000000e-01  6.20000000e-01  0.00000000e+00  6.23057161e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.30000000e-01  6.30000000e-01  0.00000000e+00  6.32827124e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.40000000e-01  6.40000000e-01  0.00000000e+00  6.42597087e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.50000000e-01  6.50000000e-01  0.00000000e+00  6.53255228e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.60000000e-01  6.60000000e-01  0.00000000e+00  6.63025190e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.70000000e-01  6.70000000e-01  0.00000000e+00  6.72795153e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.80000000e-01  6.80000000e-01  0.00000000e+00  6.83009205e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 6.90000000e-01  6.90000000e-01  0.00000000e+00  6.92779167e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.00000000e-01  7.00000000e-01  0.00000000e+00  7.02549130e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.10000000e-01  7.10000000e-01  0.00000000e+00  7.12763182e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.20000000e-01  7.20000000e-01  0.00000000e+00  7.22977234e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.30000000e-01  7.30000000e-01  0.00000000e+00  7.32747196e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.40000000e-01  7.40000000e-01  0.00000000e+00  7.42517159e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.50000000e-01  7.50000000e-01  0.00000000e+00  7.53175300e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.60000000e-01  7.60000000e-01  0.00000000e+00  7.62945263e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.70000000e-01  7.70000000e-01  0.00000000e+00  7.72715225e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.80000000e-01  7.80000000e-01  0.00000000e+00  7.82485188e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 7.90000000e-01  7.90000000e-01  0.00000000e+00  7.93143329e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.00000000e-01  8.00000000e-01  0.00000000e+00  8.02913291e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.10000000e-01  8.10000000e-01  0.00000000e+00  8.12683254e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.20000000e-01  8.20000000e-01  0.00000000e+00  8.23341395e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.30000000e-01  8.30000000e-01  0.00000000e+00  8.33111358e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.40000000e-01  8.40000000e-01  0.00000000e+00  8.42881320e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.50000000e-01  8.50000000e-01  0.00000000e+00  8.52651283e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.60000000e-01  8.60000000e-01  0.00000000e+00  8.63309424e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.70000000e-01  8.70000000e-01  0.00000000e+00  8.73079387e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.80000000e-01  8.80000000e-01  0.00000000e+00  8.82849349e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 8.90000000e-01  8.90000000e-01  0.00000000e+00  8.92619312e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.00000000e-01  9.00000000e-01  0.00000000e+00  9.03277453e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.10000000e-01  9.10000000e-01  0.00000000e+00  9.13047415e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.20000000e-01  9.20000000e-01  0.00000000e+00  9.22817378e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.30000000e-01  9.30000000e-01  0.00000000e+00  9.32587341e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.40000000e-01  9.40000000e-01  0.00000000e+00  9.42357303e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.50000000e-01  9.50000000e-01  0.00000000e+00  9.53015444e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.60000000e-01  9.60000000e-01  0.00000000e+00  9.62785407e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.70000000e-01  9.70000000e-01  0.00000000e+00  9.73443548e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.80000000e-01  9.80000000e-01  0.00000000e+00  9.83213511e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 9.90000000e-01  9.90000000e-01  0.00000000e+00  9.92983473e-13  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00275344e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.01000000e+00  1.01000000e+00  0.00000000e+00  1.01341158e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.02000000e+00  1.02000000e+00  0.00000000e+00  1.02318154e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.03000000e+00  1.03000000e+00  0.00000000e+00  1.03295150e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.04000000e+00  1.04000000e+00  0.00000000e+00  1.04272146e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.05000000e+00  1.05000000e+00  0.00000000e+00  1.05249143e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.06000000e+00  1.06000000e+00  0.00000000e+00  1.06226139e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.07000000e+00  1.07000000e+00  0.00000000e+00  1.07203135e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.08000000e+00  1.08000000e+00  0.00000000e+00  1.08357767e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.09000000e+00  1.09000000e+00  0.00000000e+00  1.09334763e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.10000000e+00  1.10000000e+00  0.00000000e+00  1.10311760e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.11000000e+00  1.11000000e+00  0.00000000e+00  1.11288756e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.12000000e+00  1.12000000e+00  0.00000000e+00  1.12265752e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.13000000e+00  1.13000000e+00  0.00000000e+00  1.13331566e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.14000000e+00  1.14000000e+00  0.00000000e+00  1.14308563e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.15000000e+00  1.15000000e+00  0.00000000e+00  1.15285559e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.16000000e+00  1.16000000e+00  0.00000000e+00  1.16262555e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.17000000e+00  1.17000000e+00  0.00000000e+00  1.17239551e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.18000000e+00  1.18000000e+00  0.00000000e+00  1.18216548e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.19000000e+00  1.19000000e+00  0.00000000e+00  1.19371180e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.20000000e+00  1.20000000e+00  0.00000000e+00  1.20348176e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.21000000e+00  1.21000000e+00  0.00000000e+00  1.21325172e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
